P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P0595,1,130.0,130.0,130.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P3079,1,125.0,125.0,125.0,BS0074,알루미늄리드지 (해외공용 1-day 리드지)_유광 코팅
P7509,2,94.0,59.0,35.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P1216,1,70.0,70.0,70.0,BS0005,알루미늄리드지 (Monthly_무지)
P5052,1,67.0,67.0,67.0,BS0005,알루미늄리드지 (Monthly_무지)
P7529,1,66.0,66.0,66.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P0212,1,63.0,63.0,63.0,BS0052,알루미늄리드지 (Iris-Toric)_무광 코팅
P7528,2,56.0,52.0,4.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P3408,1,53.0,53.0,53.0,BS0149,알루미늄리드지 (Clalen O2O2 Color 1Day)_무광 코팅
P3071,1,52.0,52.0,52.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7521,1,49.0,49.0,49.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P0575,21,44.0,8.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
P1136,1,35.0,35.0,35.0,BS0016,캡바이알(5cc)
P4055,3,33.0,33.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
P1206,1,27.0,27.0,27.0,BS0005,알루미늄리드지 (Monthly_무지)
P1104,2,22.0,22.0,0.0,BS0016,캡바이알(5cc)
P3401,2,18.0,9.0,9.0,BS0005,알루미늄리드지 (Monthly_무지)
P4060,3,17.0,12.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
P3400,1,16.0,16.0,16.0,BS0005,알루미늄리드지 (Monthly_무지)
P0510,9,11.0,11.0,0.0,BS0243,알루미늄리드지 (영국 FGC SiHy 1Day 리드지)
P4001,1,7.0,7.0,7.0,BS0005,알루미늄리드지 (Monthly_무지)
P4115,1,7.0,7.0,7.0,BS0005,알루미늄리드지 (Monthly_무지)
P4202,2,4.0,2.0,2.0,BS0005,알루미늄리드지 (Monthly_무지)
P0010,1,0.0,0.0,0.0,BS0054,알루미늄리드지 (국내/중국 원데이_아이리스)_무광 코
P3217,1,0.0,0.0,0.0,BS0154,알루미늄리드지 (공용 Alcon Freshlook)_유광 코팅
P3221,3,0.0,0.0,0.0,BS0154,알루미늄리드지 (공용 Alcon Freshlook)_유광 코팅
P5022,2,0.0,0.0,0.0,BS0192,알루미늄리드지 (Clalen O2O2 Color 1Day_Toric)_무광
P5103,5,0.0,0.0,0.0,BS0187,알루미늄리드지 (중국 법인_JEWEL MOON 1D Color)_유
P5415,4,0.0,0.0,0.0,BS0098,알루미늄리드지 (러시아 Optic Center ADRIA ZERO 리
P7010,1,0.0,0.0,0.0,BS0145,알루미늄리드지 (일본 PIA 1day 38% mimuco)_유광 코
